epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75359,3.12037,7.68414,1.73039,0,0,0,0,2.88194,7.34041,1.56896,0,0,0
2,18.8591,2.85493,7.81519,1.80589,0,0,0,0,2.88021,7.31913,1.5513,3.13664e-07,3.13664e-07,3.13664e-07
3,28.1754,2.95709,7.58162,1.86078,0,0,0,0,2.86447,7.28645,1.54107,6.14656e-07,6.14656e-07,6.14656e-07
4,37.8306,3.07191,7.27779,1.88048,0,0,0,0,2.85445,7.24795,1.52695,9.02976e-07,9.02976e-07,9.02976e-07
5,47.8672,2.92654,7.61345,1.86625,0,0,0,0,2.85799,7.23223,1.52299,1.17862e-06,1.17862e-06,1.17862e-06
6,58.0562,2.89614,7.61519,1.8783,0,0,0,0,2.85808,7.21153,1.51394,1.4416e-06,1.4416e-06,1.4416e-06
7,67.2167,2.91478,7.36557,1.73292,0,0,0,0,2.85581,7.19384,1.50383,1.6919e-06,1.6919e-06,1.6919e-06
8,76.384,3.12591,7.8258,1.87194,0,0,0,0,2.86794,7.18633,1.4953,1.92954e-06,1.92954e-06,1.92954e-06
9,85.6425,2.85981,7.26687,1.60905,0,0,0,0,2.86215,7.18749,1.48432,2.1545e-06,2.1545e-06,2.1545e-06
10,95.2266,2.85588,7.24256,1.81876,0,0,0,0,2.86931,7.18751,1.48258,2.36678e-06,2.36678e-06,2.36678e-06
11,104.722,2.73714,7.64204,1.65303,0.00056,0.00337,0.00168,0.00017,2.86055,7.17719,1.48226,2.5664e-06,2.5664e-06,2.5664e-06
12,113.783,3.05338,7.16498,1.94188,0.00067,0.00337,0.00168,0.00017,2.84951,7.17708,1.47826,2.75334e-06,2.75334e-06,2.75334e-06
13,123.256,3.07462,7.26784,1.80365,0.00084,0.00337,0.00112,0.00011,2.83755,7.17509,1.47538,2.92762e-06,2.92762e-06,2.92762e-06
14,132.16,2.8559,7.49433,1.97036,0.00084,0.00337,0.00112,0.00011,2.82954,7.16299,1.47453,3.08922e-06,3.08922e-06,3.08922e-06
15,141.297,2.97756,7.29555,1.88482,0.00084,0.00337,0.00112,0.00011,2.83769,7.16061,1.47145,3.23814e-06,3.23814e-06,3.23814e-06
16,150.866,2.89005,7.16909,1.7566,0.00084,0.00337,0.00112,0.00011,2.8345,7.15968,1.46831,3.3744e-06,3.3744e-06,3.3744e-06
17,160.061,3.02282,7.4011,1.82326,0.00084,0.00337,0.00112,0.00011,2.83711,7.14028,1.46737,3.49798e-06,3.49798e-06,3.49798e-06
18,168.954,2.71784,7.40865,1.84283,0.00084,0.00337,0.00112,0.00011,2.83711,7.14028,1.46737,3.6089e-06,3.6089e-06,3.6089e-06
19,178.092,2.93315,7.20409,1.763,9e-05,0.00337,0.00013,1e-05,2.85012,7.15945,1.4632,3.70714e-06,3.70714e-06,3.70714e-06
20,186.862,2.75656,7.12397,1.82144,9e-05,0.00337,0.00013,1e-05,2.85012,7.15945,1.4632,3.7927e-06,3.7927e-06,3.7927e-06
21,195.986,2.67457,7.34113,1.60216,0.00011,0.00337,0.00017,2e-05,2.80346,7.12978,1.45002,3.8656e-06,3.8656e-06,3.8656e-06
22,205.346,2.90646,7.38363,1.72727,0.00011,0.00337,0.00017,2e-05,2.80346,7.12978,1.45002,3.92582e-06,3.92582e-06,3.92582e-06
23,214.245,2.88745,6.87068,1.89069,0.00012,0.00337,0.00018,2e-05,2.78722,7.12669,1.44614,3.97338e-06,3.97338e-06,3.97338e-06
24,223.286,2.95173,7.49377,1.7233,0.00012,0.00337,0.00018,2e-05,2.78722,7.12669,1.44614,4.00826e-06,4.00826e-06,4.00826e-06
25,232.488,2.73132,7.07555,1.71268,0.00013,0.00337,0.00028,3e-05,2.76688,7.11376,1.44288,4.03046e-06,4.03046e-06,4.03046e-06
26,241.861,2.95279,7.23105,1.68486,0.00013,0.00337,0.00028,3e-05,2.76688,7.11376,1.44288,4.04e-06,4.04e-06,4.04e-06
27,250.827,3.01813,7.25857,1.80584,0.00016,0.00337,0.0003,3e-05,2.75012,7.10251,1.43759,4.03686e-06,4.03686e-06,4.03686e-06
